"Country","Year","Survey","Valid records (LIS)","LIS ceiling (PPP/day)","Welfare share above ceiling (%)","mean_ppp_day original (LIS)","mean_ppp_day LIS-capped","mean_ppp_day change (%) (LIS)","gini original (LIS)","gini LIS-capped","gini change (%) (LIS)","mld original (LIS)","mld LIS-capped","mld change (%) (LIS)","atkinson_2 original (LIS)","atkinson_2 LIS-capped","atkinson_2 change (%) (LIS)","Valid records (outdetect)","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original (outdetect)","mean_ppp_day outdetect-capped","mean_ppp_day change (%) (outdetect)","gini original (outdetect)","gini outdetect-capped","gini change (%) (outdetect)","mld original (outdetect)","mld outdetect-capped","mld change (%) (outdetect)","atkinson_2 original (outdetect)","atkinson_2 outdetect-capped","atkinson_2 change (%) (outdetect)","Flagged by outdetect","Flagged by LIS","Flagged by both (always problematic)","welfare_type"
"MWI",1997,"IHS-I",10693,38.7815210461652,41.5964282908926,4.61516630860759,2.86400897616746,-37.9435369246414,0.657555705276473,0.448300837517792,-31.8231392533807,0.811075873615653,0.336591074323372,-58.5006674131607,0.646717721759855,0.430746824251195,-33.3949249018501,10693,0.777359414245215,0.668047834090412,16.1432647044469,206,1.48931367670054,46.860046720085,4.61516630860759,2.69292106929375,-41.6506169177203,0.657555705276473,0.413795791448769,-37.0706104245896,0.811075873615654,0.282240925907321,-65.2016617571012,0.646717721759855,0.394902162876502,-38.937476183289,TRUE,TRUE,TRUE,"consumption"
"BLZ",1993,"LFS",704,290.630448944284,20.0901990055536,10.5691853136104,9.16121706799651,-13.3214453511451,0.601049590785184,0.539924376891807,-10.1697455302357,0.688425294497802,0.547619989974174,-20.4532438957438,0.731710250361908,0.690480974127327,-5.63464516373644,704,2.07062746830933,1.09695141164934,213.040375323908,11,0.307884589004557,21.4931741930144,10.5691853136104,8.95345038735338,-15.287222981854,0.601049590785184,0.529310733038427,-11.9355971365092,0.688425294497802,0.52551602275255,-23.6640450383352,0.731710250361908,0.683301567197268,-6.61582684412268,TRUE,TRUE,TRUE,"income"
"BLZ",1994,"LFS",660,228.853103416055,19.9589155629467,10.3236755795874,8.90972219984714,-13.6962205838396,0.605752189612845,0.543417011154382,-10.290541169699,0.681165893297561,0.536536102938172,-21.2326823439777,0.700358842906074,0.652813472489566,-6.78871565599471,660,2.04465818480226,1.14269013949552,238.109012206983,6,0.282513237763141,19.9589155629467,10.3236755795874,8.93587136745679,-13.4429273898792,0.605752189612845,0.544744849230274,-10.0713363366565,0.681165893297561,0.539354695578385,-20.8188928885825,0.700358842906074,0.653828935510309,-6.64372383772479,TRUE,TRUE,TRUE,"income"
"BLZ",1997,"LFS",753,295.79204689622,18.2439892195915,8.54773742008037,7.32455106164775,-14.310060058222,0.602251640358501,0.535916569385902,-11.0145106343108,0.72088240663607,0.567771307994101,-21.2394001063846,0.795562496943917,0.761422711765262,-4.2912763371576,753,1.85081659334315,1.14452247996034,197.232657259969,5,0.164063610174528,19.4349867138221,8.54773742008037,7.21007280609921,-15.6493414367025,0.602251640358501,0.528566667588746,-12.2349144164875,0.72088240663607,0.5524914066891,-23.3590109006475,0.795562496943917,0.757635529396419,-4.76731466015436,TRUE,TRUE,TRUE,"income"
"SYC",2013,"HBS",1759,263.640549820467,12.063038524619,24.1287666114804,21.8026591904948,-9.64039090120286,0.468146302341744,0.411539372277232,-12.0917178628464,0.400183905191472,0.301866169921497,-24.5681382970497,0.541004716139092,0.492066715364518,-9.04576232233657,1759,2.89174516499448,0.652575179248496,127.672795098123,20,0.88364320376907,17.6105961581804,24.1287666114804,21.0077189425293,-12.9349656333703,0.468146302341744,0.389510020445914,-16.7973732789254,0.400183905191472,0.269189998181211,-32.7334271346034,0.541004716139092,0.47299873800958,-12.5703115149975,TRUE,TRUE,TRUE,"income"
"MDV",2002,"HIES",834,63.8917035553409,11.8246353951171,7.05623258728389,6.42837599591925,-8.89790102010116,0.413120270527936,0.355925234255005,-13.8446453377464,0.30081794128618,0.21079090595851,-29.9274155466755,0.383416818290479,0.323268469940767,-15.6874569607803,834,1.67481502723038,0.611967675288991,33.4722940412602,8,0.489437312379497,12.7200094396175,7.05623258728389,6.32250503244732,-10.3982903874063,0.413120270527936,0.345199460652818,-16.4409288821196,0.300817941286179,0.196480806734009,-34.684478627194,0.383416818290479,0.312091138402785,-18.6026476891939,TRUE,TRUE,TRUE,"consumption"
"MWI",2016,"IHS-IV",12445,30.0123232668325,10.9665389352667,2.5000184059762,2.25866390607165,-9.65410891886219,0.446943077124832,0.387863851489458,-13.2185123026021,0.348481125248169,0.247871717072463,-28.8708342823611,0.41681112064856,0.354505723215227,-14.9481130293226,12445,0.619835777651496,0.635416412621811,12.5044554339555,176,0.804006529384597,15.7904990684211,2.5000184059762,2.20578966102316,-11.7690631496831,0.446943077124833,0.373293167437859,-16.4785883161589,0.348481125248169,0.227258836663089,-34.7858979446167,0.41681112064856,0.339214152987126,-18.6168179823735,TRUE,TRUE,TRUE,"consumption"
"ETH",1995,"HICES",11524,27.0068412081767,10.8901692731097,2.37903672729592,2.22955938495191,-6.28310360361318,0.445645132210075,0.408562267488176,-8.32116454139089,0.341138633765302,0.278600268862514,-18.332243467274,0.417421455549709,0.378411140599258,-9.34554619361333,11524,0.654328692769387,0.674006798458958,14.5319414911949,189,0.989494499439391,15.6967199641978,2.37903672729592,2.14939875608399,-9.6525609956827,0.445645132210074,0.386761509338633,-13.2131192770851,0.341138633765302,0.246156413376018,-27.8427041056363,0.417421455549709,0.355429318676059,-14.8512099820099,TRUE,TRUE,TRUE,"consumption"
"MDG",1993,"EPM",4501,31.9808557022358,8.80847720608475,2.1035774658147,2.00539842638316,-4.66724145067362,0.452556975065018,0.425830483741037,-5.90566333004627,0.360228077607908,0.314228097569868,-12.7696820146563,0.470074931833383,0.444154823140479,-5.5140376432776,4501,0.612721817336513,0.738004189453767,16.8902137422436,48,0.537383625275614,11.6140460788368,2.1035774658147,1.95003225255582,-7.29924216027913,0.452556975065018,0.409635118331031,-9.48429901623335,0.360228077607908,0.28863726782289,-19.8737450618551,0.470074931833383,0.428441965971682,-8.85666582970592,TRUE,TRUE,TRUE,"consumption"
"PRY",2002,"EPH",3730,583.385901316247,8.42293254095893,12.0427834645846,11.353862423664,-5.7206130372313,0.572529655917799,0.546615847536943,-4.52619495130164,0.613496503143009,0.555153193795091,-9.50996607951616,0.673381883128439,0.653564345662831,-2.94298643342454,3730,2.09945511194554,1.01711079383645,172.567332467278,19,0.304430474955796,13.9931319330527,12.0427834645846,10.8829684358221,-9.63078869742425,0.572529655917799,0.527057885482405,-7.94225591030745,0.613496503143009,0.51441010611047,-16.1510940200813,0.673381883128439,0.638583285748196,-5.16773590916556,TRUE,TRUE,TRUE,"income"
"MOZ",2014,"IOF",32454,63.7909295041793,8.03678531002836,2.86985079677352,2.75977799582307,-3.8354886279873,0.539889914426832,0.521568468535717,-3.39355216712377,0.511032512470043,0.472890856818432,-7.46364560392753,0.625246823576613,0.610304223565831,-2.38987219883914,32454,0.808220390420466,0.916087402441223,35.0397313029553,487,0.499552306740975,12.9881439844383,2.86985079677352,2.67215222914977,-6.88880996343116,0.539889914426834,0.505987180605169,-6.27956420665068,0.511032512470043,0.442538133926217,-13.4031351963817,0.625246823576613,0.597543848081535,-4.43072630687005,TRUE,TRUE,TRUE,"consumption"
"BFA",1998,"EP-II",8324,26.0147000753795,7.90441908222986,1.92779219861173,1.84970209488508,-4.0507531767628,0.499439698912732,0.478344343650156,-4.22380425675029,0.427856379733149,0.387952388057977,-9.32649215142234,0.509014618967136,0.488303523636361,-4.06886061009425,8324,0.38336998740023,0.859681306997676,19.3446115609578,144,0.522710002740921,10.6534942679946,1.92779219861173,1.82353118685429,-5.40831173777583,0.499439698912732,0.470916120417888,-5.71111558751532,0.427856379733149,0.374884218960605,-12.3808276051842,0.509014618967136,0.48098616244414,-5.50641484126125,TRUE,TRUE,TRUE,"consumption"
